#This table contains all taxa listed as part of the mountain gorilla diet in Bwindi, Uganda
#by Rothman et al. 2014 (Table 1)
Acalypha ornata
Achyranthes aspera
Adenia gummifera
Alchornea hirtella
Allophylus abyssinicus
Allophylus macrobotrys
Allophylus sp.
Ancistrorhynchus clandestinus
Angraecum infundibulare
Arundinaria alpina
Baissea sp.
Basella alba
Carpodinus glabra
Carduus kikuyorua
Cassipourea ruwenzoriensis
Chrysophyllum albidum
Chrysophyllum gorungosanum
Clematis sp.
Combretum fuscum
Crassocephalum sp.
Cyathea manniana
Cyperus renschii
Desmodium repandum
Diaphanathe subsimplex
Dicliptera sp.
Dolichos sericeus
Dombeya goetzenii
Droguetia iners
Drypetes sp.
Englerina woodfordioides
Ficus asperifolia
Ficus densistipulata
Ficus exasperata
Ficus ingens
Ficus natalensis
Ficus spp. (Unidentified Ficus)
Ficus conraui
Laportea ovalifolia
Galiniera coffeoides
Galium thunbergianum
Gandoderma australe
Ganoderma sp.
Gouania longispicata
Helichrysum nudifolium
Helichrysum schimperi
Ilex mitis
Ipomoea involcrata
Isoglossa sp.
Jasminum abyssinicum
Jasminum schimperi
Justicia glabra
Kosteletzkya grantii
Landolphia buchananii
Lasanthus sersecusis
Maesa lanceolata
Mimulopsis arborescens
Mimulopsis solmsii
Momordica foetida
Momordica pterocarpa
Myrianthus holstii
Mystroxylon aethiopicum
Mystroxylon aethiopicum
Olea capensis
Olea capensis
Olinia rochetiana
Oncinotis sp.
Periploca linearifolia
Pilea holstii
Pilea holstii
Piper capense
Pleopeltis macrocarpa
Podocarpus milanjianus
Polystachya adansoniae
Polystachya cultriformis
Polystachya spatella
Pseudodrynaria coronans
Rapanea rhododendroides
Rawnsonia lucida
Rhipsalis baccifera
Rubus sp.
Rubus steudneri
Rytigynia bugoyensis
Rytigynia kigeziensis
Rytigynia ruwenzoriensis
Salacia elegans
Sarcorhynchus bilobatus
Schefflera sp.
Smilax anceps
Solanum welwitschii
Strombosia scheffleri
Symphonia sp.
Syzygium guineense
Tapinanthus sp.
Teclea nobilis
Triumfetta tomentosa
Urera cameroonensis
Urera hypselodendron
Vernonia iodocalyx
Vernonia lasiopus
Vernonia pteropoda
Vernonia tufnelliae
Vigna parkeri
Xymalos monospora
