Acalypha ornata
Allophylus sp.
Baissea sp.
Carpodinus glabra
Carduus kikuyorua
Cassipourea ruwenzoriensis
Chrysophyllum gorungosanum
Combretum fuscum
Crassocephalum sp.
Desmodium repandum
Diaphanathe subsimplex
Dicliptera sp.
Dombeya goetzenii
Drypetes sp.
Ficus spp. (Unidentified Ficus)
Galiniera coffeoides
Gandoderma australe
Ipomoea involcrata
Isoglossa sp.
Jasminum schimperi
Justicia glabra
Landolphia buchananii
Lasanthus sersecusis
Olinia rochetiana
Oncinotis sp.
Rapanea rhododendroides
Rawnsonia lucida
Rubus sp.
Rubus steudneri
Rytigynia kigeziensis
Rytigynia ruwenzoriensis
Salacia elegans
Sarcorhynchus bilobatus
Schefflera sp.
Solanum welwitschii
Symphonia sp.
Tapinanthus sp.
Vernonia iodocalyx
Vernonia pteropoda
Vernonia tufnelliae
