Ficus oreadryadum
Bridelia bridelifolia
Allophyllus sp.
Rubus adenocomus
Psychotha palustris
Galiniera coffeoides
Jasminium abyssinicum
Taccazea apiculata
Helichrysum sp.
Barieria ventricosa
Jabsminium abyssinicum
Vernonia hochstetteri
Clerodendron welwitschii
Commelina cecilae
Ipomea ivolucrata
Ouratea brunneopupurea
Vernonia kirubgae
Mussularia acuminata
Mimulopsis excellence
Crassocephalum bumbense
Globimetula kivuensis
Impatians irvingii
Rumex bequaertii
Loeseneriella apocynoides
Caper capense
Artabotrys palutris
Dombeya goetzenii
Baphoglossum sp.
Erigeron floribundus
Leplaca cf. mayumbensis
Melothria punctata
Penisetum purpureum
Pycnostachys cricirosenii
Tricalysia sp.
Apis sp.
