taxon_name,TaxID,updated_name,GBIF_taxon_ID,genus_id,genus_name,family_id,family_name,publication,subspecies
Landolphia,141576,NA,NA,141576,Landolphia,4056,Apocynaceae,rogers,western
Palisota,168076,NA,NA,168076,Palisota,4740,Commelinaceae,rogers,western
Haumania,210082,NA,NA,210082,Haumania,4619,Marantaceae,rogers,western
Hypselodelphys,94354,NA,NA,94354,Hypselodelphys,4619,Marantaceae,rogers,western
Megaphrynium,210061,NA,NA,210061,Megaphrynium,4619,Marantaceae,rogers,western
Thaumatococcus,4620,NA,NA,4620,Thaumatococcus,4619,Marantaceae,rogers,western
Ficus,NA,NA,NA,NA,NA,NA,NA,rogers,western
Aframomum,188478,NA,NA,188478,Aframomum,4642,Zingiberaceae,rogers,western
Costus,4631,NA,NA,4631,Costus,4630,Costaceae,rogers,western
Renealmia,105703,NA,NA,105703,Renealmia,4642,Zingiberaceae,rogers,western
Dracaena,NA,NA,NA,NA,NA,NA,NA,rogers,western
Pseudospondias,1321804,NA,NA,1321804,Pseudospondias,4011,Anacardiaceae,rogers,western
Trichoscypha,289775,NA,NA,289775,Trichoscypha,4011,Anacardiaceae,rogers,western
Anonidium,306991,NA,NA,306991,Anonidium,22140,Annonaceae,rogers,western
Hexalobus,489329,NA,NA,489329,Hexalobus,22140,Annonaceae,rogers,western
Monodora,296851,NA,NA,296851,Monodora,22140,Annonaceae,rogers,western
Polyalthia,105756,NA,NA,105756,Polyalthia,22140,Annonaceae,rogers,western
Uvariodendron,489354,NA,NA,489354,Uvariodendron,22140,Annonaceae,rogers,western
Dictyophleba,52828,NA,NA,52828,Dictyophleba,4056,Apocynaceae,rogers,western
Tabernaemontana,52860,NA,NA,52860,Tabernaemontana,4056,Apocynaceae,rogers,western
Amorphophallus,74663,NA,NA,74663,Amorphophallus,4454,Araceae,rogers,western
Dacryodes,173691,NA,NA,173691,Dacryodes,4014,Burseraceae,rogers,western
Santiria,173686,NA,NA,173686,Santiria,4014,Burseraceae,rogers,western
Diospyros,13492,NA,NA,13492,Diospyros,19955,Ebenaceae,rogers,western
Drypetes,20145,NA,NA,20145,Drypetes,233879,Putranjivaceae,rogers,western
Uapaca,283116,NA,NA,283116,Uapaca,233880,Phyllanthaceae,rogers,western
Oncoba,179732,NA,NA,179732,Oncoba,3688,Salicaceae,rogers,western
Garcinia,58227,NA,NA,58227,Garcinia,55961,Clusiaceae,rogers,western
Pentadesma,198784,NA,NA,198784,Pentadesma,55961,Clusiaceae,rogers,western
Irvingia,79318,NA,NA,79318,Irvingia,629715,Irvingiaceae,rogers,western
Klainedoxa,289638,NA,NA,289638,Klainedoxa,629715,Irvingiaceae,rogers,western
Angylocalyx,53826,NA,NA,53826,Angylocalyx,3803,Fabaceae,rogers,western
Dialium,53868,NA,NA,53868,Dialium,3803,Fabaceae,rogers,western
Erythrophleum,53876,NA,NA,53876,Erythrophleum,3803,Fabaceae,rogers,western
Parkia,53911,NA,NA,53911,Parkia,3803,Fabaceae,rogers,western
Pterocarpus,100169,NA,NA,100169,Pterocarpus,3803,Fabaceae,rogers,western
Tetrapleura,148727,NA,NA,148727,Tetrapleura,3803,Fabaceae,rogers,western
Strychnos,26496,NA,NA,26496,Strychnos,26468,Loganiaceae,rogers,western
Turreanthus,403499,Turraeanthus,NA,403499,Turraeanthus,43707,Meliaceae,rogers,western
Tiliacora,461640,NA,NA,461640,Tiliacora,3455,Menispermaceae,rogers,western
Antiaris,241856,NA,NA,241856,Antiaris,3487,Moraceae,rogers,western
Milicia,58663,NA,NA,58663,Milicia,3487,Moraceae,rogers,western
Morus,NA,NA,NA,NA,NA,NA,NA,rogers,western
Myrianthus,1220083,NA,NA,1220083,Myrianthus,3499,Urticaceae,rogers,western
Treculia,709071,NA,NA,709071,Treculia,3487,Moraceae,rogers,western
Pycnanthus,224863,NA,NA,224863,Pycnanthus,22274,Myristicaceae,rogers,western
Syzygium,178174,NA,NA,178174,Syzygium,3931,Myrtaceae,rogers,western
Strombosia,70869,NA,NA,70869,Strombosia,1003241,Strombosiaceae,rogers,western
Barteria,343951,NA,NA,343951,Barteria,3683,Passifloraceae,rogers,western
Maesopsis,106688,NA,NA,106688,Maesopsis,3608,Rhamnaceae,rogers,western
Nauclea,43525,NA,NA,43525,Nauclea,24966,Rubiaceae,rogers,western
