taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6,structural_zero (gorilla),structural_zero (graueri),structural_zero (beringei)
Stenamma,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Tamarindus,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Turnera,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Ficus,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
Citrullus,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
Euonymus,3,FALSE,FALSE,FALSE,FALSE,0,0,0
Hibiscus,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
Corchorus,13,FALSE,FALSE,FALSE,FALSE,0,0,0
Rhazya,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
Platycodon,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Panax,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Diospyros,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Amaranthus,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Lolium,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Ferrocalamus,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0
Erycina,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Cymbidium,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Gastrodia,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Apostasia,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Anemone,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Aquilegia,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Viscum,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
Parmotrema,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Castanospermum,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
Acacia,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
Rubus,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0
Spondias,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
Rotheca,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
Galium,35,TRUE,TRUE,TRUE,TRUE,0,0,0
Psychotria,2,FALSE,FALSE,FALSE,FALSE,0,0,0
Asclepias,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Chrysanthemum,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Primula,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Fagopyrum,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Paspalum,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Secale,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Bambusa,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0
Cocos,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
Dioscorea,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Vicia,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Cercis,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
Bruguiera,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
Poikilospermum,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0
Cuscuta,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Jasminum,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Avicennia,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Neolamarckia,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Argostemma,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0
Rubia,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0
Cynanchum,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Periploca,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0
Ilex,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
Thaumatococcus,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
Marantochloa,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
Anoectochilus,4,FALSE,FALSE,FALSE,FALSE,0,0,0
Lobelia,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Streptochaeta,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Salacia,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
Eriophyllum,1,FALSE,FALSE,FALSE,FALSE,0,0,0
Oldeania,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0
