pos	5pG>A
1	0.0233542054493146
2	0.0263256863482512
3	0.0197095435684647
4	0.0159489633173844
5	0.0161145926589078
6	0.0313517217748844
7	0.0248765319187854
8	0.0219721329046088
9	0.025178632187819
10	0.0182522123893805
11	0.0224295711465997
12	0.0291005291005291
13	0.0184913950933724
14	0.019045891529113
15	0.0201914708442124
16	0.0165654334621756
17	0.0202129579498285
18	0.0214165261382799
19	0.0212121212121212
20	0.0227190768121168
21	0.0262249827467219
22	0.0237203495630462
23	0.0232600072124053
24	0.0263292870576167
25	0.0227941176470588
