pos	5pC>T
1	0.0189732142857143
2	0.0285714285714286
3	0.0242685025817556
4	0.0184429863450966
5	0.0162675927618351
6	0.0271210013908206
7	0.0249859102010145
8	0.0206130130847822
9	0.021724372029871
10	0.0221652317274226
11	0.0237676056338028
12	0.02708192281652
13	0.0179243592041585
14	0.0156392071285688
15	0.0254755434782609
16	0.021513353115727
17	0.0175915850562205
18	0.0225461942702153
19	0.0243036081510563
20	0.0241501021735092
21	0.0252301397886123
22	0.0251137397634213
23	0.0209713024282561
24	0.0266231535554792
25	0.0235123892204739
