"","Position","C.T","G.A"
"1",1,0.265609400527255,0.173848876466758
"2",2,0.273309245916642,0.197835331682663
"3",3,0.278551391266488,0.218035146159298
"4",4,0.286724128785177,0.229842171149007
"5",5,0.296498203227617,0.236059729820893
"6",6,0.302709676601944,0.243532850422069
"7",7,0.302021435386328,0.256651166666051
"8",8,0.29798395664285,0.271313810692632
"9",9,0.299543987227402,0.278180229965863
"10",10,0.306715706682304,0.277797791440978
"11",11,0.313728914685443,0.2764603767878
"12",12,0.320212704577375,0.274731496493192
"13",-12,0.265847183360658,0.327830050649557
"14",-11,0.282795279903442,0.307935618818619
"15",-10,0.289211854203199,0.295865976685047
"16",-9,0.284395539039221,0.293592657838318
"17",-8,0.273844656951136,0.29562090784551
"18",-7,0.259890644049465,0.299145181521475
"19",-6,0.247802871776244,0.299048478571411
"20",-5,0.239262318734515,0.293765930607663
"21",-4,0.226890658156731,0.28923496676916
"22",-3,0.21002964481726,0.285224562227253
"23",-2,0.190227275397274,0.279432172553379
"24",-1,0.169349104926991,0.269123936032098
