"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.078743946051235,0.014394343688444,0.001312553272678,0.143945045153887,0.483520807584498,-4884.35206279487
"Std.",0.00102348278505924,0.00145550684120381,0.00121390688999774,0.0631157206275288,0.00805280289127792,1.74029394125155
"Acceptance ratio",0.15632,0.21818,0.21568,0.2827,0.19618,0.69894
"0%",0.0753742253642277,0.00920028433959606,5.2027299420488e-08,0.010202188454139,0.45450652229171,-4898.13393411073
"2.5%",0.0767497184134471,0.0118298739603056,3.4543643092322e-05,0.0546785710940921,0.467595181997053,-4888.56734987898
"5%",0.0770957467211359,0.0121607410163329,7.2390932203293e-05,0.064528142771139,0.470153177454317,-4887.63982186368
"7.5%",0.0772768261225144,0.0124193669108425,0.000106535673304339,0.0721962208799585,0.471751760288871,-4887.09850321387
"10%",0.0774311735288502,0.0126029630315178,0.000143174738448601,0.0772416495643236,0.473154122924765,-4886.64358182321
"12.5%",0.0775705652415761,0.0127665952665386,0.000183418470754983,0.0816219726328131,0.474280920590071,-4886.32337806794
"15%",0.0776954931206967,0.0129172545915103,0.0002229153410357,0.0855838098522052,0.475303085287789,-4886.07642749993
"17.5%",0.077785288087022,0.0130469120922525,0.000266005525322038,0.0899194601633209,0.476105546603162,-4885.84281284347
"20%",0.0778797318824291,0.0131706743675368,0.000309782702344799,0.0934903627048577,0.476899872650821,-4885.65163804124
"22.5%",0.0779657310895734,0.0132761479632689,0.000353230862493257,0.0975149974395217,0.477546008605433,-4885.46302260272
"25%",0.0780510225684174,0.0133883348197903,0.000402688112561029,0.101048580712767,0.478105097762874,-4885.27968103608
"27.5%",0.0781272202232288,0.0134969296128627,0.00045189172331631,0.10446591035191,0.478700430373307,-4885.11519040177
"30%",0.0782026106630635,0.0135984014408257,0.000505278563650029,0.108161004843007,0.479260040753916,-4884.97573172855
"32.5%",0.0782746717610715,0.0136772153426165,0.000558312222977184,0.111531824247612,0.479766823475758,-4884.83756646122
"35%",0.0783466329394389,0.0137604937374367,0.000614487033756976,0.114627317662732,0.480293181066261,-4884.70731197957
"37.5%",0.0784116555647662,0.0138413519509806,0.000673207853051463,0.117997650334874,0.480880193476298,-4884.57778947819
"40%",0.0784737622664441,0.0139273590989122,0.000732264960737707,0.121120198370533,0.48139385276916,-4884.4638819034
"42.5%",0.0785449841981096,0.0140181389159621,0.000789670536045677,0.123979315138016,0.481972684377837,-4884.35190995709
"45%",0.0786080655504766,0.0141088588980921,0.000845826029240098,0.127570636374286,0.482466709817933,-4884.24205033524
"47.5%",0.0786721571333384,0.0141899393599442,0.000895370855230195,0.130887008554736,0.483041250599033,-4884.13334547068
"50%",0.0787281883446698,0.0142843665841903,0.000954540317545938,0.134492796730193,0.483546817514256,-4884.02125124809
"52.5%",0.0788046450188489,0.0143651936512758,0.00102350183449271,0.137910766872504,0.484126251547669,-4883.92163120209
"55%",0.0788640060780584,0.0144632629314801,0.00110014510293985,0.140915876663857,0.484596441311301,-4883.81651046813
"57.5%",0.0789252499159663,0.0145553848848746,0.00118101565313893,0.143986020598118,0.485087440470646,-4883.71527654694
"60%",0.0789909413013289,0.0146500592404567,0.00126190168036336,0.147497736158717,0.485599202793674,-4883.61847738854
"62.5%",0.0790558058683957,0.0147601314776636,0.00134761201788599,0.150990045876104,0.486108054526307,-4883.52754700466
"65%",0.0791276567184574,0.0148614458964455,0.00143240747142841,0.154560159589686,0.486632940364381,-4883.43932391379
"67.5%",0.0791901347509724,0.0149560387776758,0.00152664437634911,0.158918040261981,0.487183284212682,-4883.34538336907
"70%",0.0792517878938469,0.0150701207162842,0.0016300178763892,0.163158533932476,0.48780575170421,-4883.25156187274
"72.5%",0.0793409224247979,0.0151933013168788,0.00173014161547725,0.167741811804293,0.488368668235217,-4883.15646909872
"75%",0.0794253380355037,0.0153156197553252,0.001854855292331,0.17347535262331,0.488914929662911,-4883.06043320817
"77.5%",0.0795114526283576,0.0154419380928164,0.00198096754030213,0.178897837631477,0.489527709084991,-4882.96603611341
"80%",0.0796007498655406,0.0155777829561708,0.00214138561326821,0.185217491828473,0.490219691414743,-4882.87964584066
"82.5%",0.0796877722513233,0.0157474001267605,0.00231341881653241,0.192232291208465,0.490870785418393,-4882.78859745645
"85%",0.0797945944946741,0.0159130250615808,0.00249618780105393,0.200651322692815,0.491644489634766,-4882.68072862189
"87.5%",0.0799279168320311,0.0161057568329751,0.0027149019972057,0.210467584457384,0.492605284813549,-4882.57225314781
"90%",0.0800594290618649,0.0163450326000461,0.00298631596058127,0.220900457837722,0.493595303963722,-4882.45113522233
"92.5%",0.0802368489407849,0.0166112200799972,0.00328015996045775,0.235468362817435,0.494837336136466,-4882.32973071936
"95%",0.0804681723112077,0.017000455779645,0.00374144307310602,0.258134573996527,0.496845193724248,-4882.18385135811
"97.5%",0.0807932367097669,0.0175028656524121,0.00447431400606291,0.296646208938256,0.499701796365443,-4881.99474859113
"100%",0.0825466807338082,0.0213953602154253,0.0134903292712344,0.908558518961573,0.512737763366236,-4881.41000026362
