# table produced by mapDamage version 2.0.8
# using mapped file Galium/G0020_Galium-children.bam and SNIC_PROJECT/ADRIAN/genomes/Galium/GCA_012274505.1_ASM1227450v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	30	174
+	31	145
+	32	174
+	33	124
+	34	140
+	35	290
+	36	275
+	37	251
+	38	249
+	39	212
+	40	291
+	41	296
+	42	286
+	43	276
+	44	255
+	45	309
+	46	254
+	47	255
+	48	249
+	49	240
+	50	222
+	51	233
+	52	216
+	53	206
+	54	202
+	55	160
+	56	183
+	57	166
+	58	173
+	59	149
+	60	167
+	61	123
+	62	137
+	63	120
+	64	128
+	65	111
+	66	114
+	67	97
+	68	119
+	69	109
+	70	94
+	71	102
+	72	106
+	73	81
+	74	95
+	75	68
+	76	93
+	77	66
+	78	77
+	79	57
+	80	69
+	81	69
+	82	60
+	83	66
+	84	47
+	85	49
+	86	57
+	87	56
+	88	46
+	89	58
+	90	37
+	91	30
+	92	47
+	93	29
+	94	43
+	95	39
+	96	39
+	97	30
+	98	31
+	99	24
+	100	26
+	101	24
+	102	35
+	103	15
+	104	33
+	105	34
+	106	21
+	107	25
+	108	17
+	109	16
+	110	22
+	111	25
+	112	15
+	113	16
+	114	12
+	115	17
+	116	14
+	117	12
+	118	9
+	119	15
+	120	13
+	121	15
+	122	15
+	123	8
+	124	13
+	125	12
+	126	13
+	127	6
+	128	5
+	129	15
+	130	10
+	131	11
+	132	7
+	133	5
+	134	15
+	135	6
+	136	3
+	137	4
+	138	7
+	139	7
+	140	5
+	141	2
+	142	4
+	143	2
+	144	7
+	145	10
+	146	4
+	147	3
+	148	1
+	150	6
+	151	9
+	152	1
+	153	2
+	154	3
+	155	2
+	156	3
+	157	2
+	158	2
+	159	3
+	160	1
+	161	3
+	162	2
+	163	5
+	164	2
+	165	7
+	166	2
+	167	2
+	168	1
+	169	1
+	170	1
+	171	2
+	173	2
+	174	1
+	177	1
+	186	1
-	30	183
-	31	150
-	32	144
-	33	154
-	34	136
-	35	351
-	36	296
-	37	266
-	38	246
-	39	254
-	40	291
-	41	310
-	42	280
-	43	270
-	44	274
-	45	267
-	46	286
-	47	268
-	48	219
-	49	228
-	50	205
-	51	222
-	52	203
-	53	219
-	54	201
-	55	162
-	56	175
-	57	188
-	58	165
-	59	189
-	60	158
-	61	120
-	62	142
-	63	127
-	64	146
-	65	134
-	66	112
-	67	107
-	68	96
-	69	112
-	70	98
-	71	80
-	72	87
-	73	78
-	74	80
-	75	67
-	76	68
-	77	87
-	78	72
-	79	60
-	80	68
-	81	68
-	82	60
-	83	63
-	84	46
-	85	60
-	86	37
-	87	58
-	88	39
-	89	42
-	90	43
-	91	47
-	92	33
-	93	35
-	94	36
-	95	33
-	96	44
-	97	27
-	98	25
-	99	24
-	100	30
-	101	30
-	102	23
-	103	25
-	104	26
-	105	25
-	106	21
-	107	21
-	108	15
-	109	16
-	110	16
-	111	15
-	112	12
-	113	17
-	114	17
-	115	16
-	116	18
-	117	14
-	118	13
-	119	15
-	120	14
-	121	9
-	122	16
-	123	7
-	124	14
-	125	11
-	126	2
-	127	4
-	128	4
-	129	7
-	130	5
-	131	5
-	132	5
-	133	7
-	134	10
-	135	4
-	136	4
-	137	9
-	138	7
-	139	5
-	140	8
-	141	5
-	142	4
-	143	4
-	144	5
-	145	3
-	146	1
-	147	6
-	148	4
-	149	4
-	150	4
-	151	3
-	152	3
-	153	7
-	154	2
-	155	2
-	156	4
-	157	2
-	158	3
-	159	2
-	160	1
-	161	1
-	162	3
-	163	3
-	164	2
-	165	1
-	166	3
-	167	2
-	168	2
-	170	3
-	172	1
-	173	1
-	175	1
-	176	2
