taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6,structural_zero (Grauer's),structural_zero (Mountain),structural_zero (Western)
GO:0000001: [BP] mitochondrion inheritance,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000002: [BP] mitochondrial genome maintenance,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000011: [BP] vacuole inheritance,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000027: [BP] ribosomal large subunit assembly,102,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000041: [BP] transition metal ion transport,900,TRUE,TRUE,TRUE,TRUE,0,0,0
GO:0000045: [BP] autophagosome assembly,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000050: [BP] urea cycle,330,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000054: [BP] ribosomal subunit export from nucleus,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000070: [BP] mitotic sister chromatid segregation,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000079: [BP] regulation of cyclin-dependent protein serine/threonine kinase activity,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000082: [BP] G1/S transition of mitotic cell cycle,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000103: [BP] sulfate assimilation,71,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000105: [BP] histidine biosynthetic process,118,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000122: [BP] negative regulation of transcription from RNA polymerase II promoter,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000132: [BP] establishment of mitotic spindle orientation,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000147: [BP] actin cortical patch assembly,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000160: [BP] phosphorelay signal transduction system,140,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000162: [BP] tryptophan biosynthetic process,58,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000183: [BP] chromatin silencing at rDNA,441,FALSE,FALSE,FALSE,FALSE,0,0,0
"GO:0000184: [BP] nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000209: [BP] protein polyubiquitination,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000226: [BP] microtubule cytoskeleton organization,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000245: [BP] spliceosomal complex assembly,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000256: [BP] allantoin catabolic process,132,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000270: [BP] peptidoglycan metabolic process,258,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000271: [BP] polysaccharide biosynthetic process,40,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000272: [BP] polysaccharide catabolic process,14,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000281: [BP] mitotic cytokinesis,515,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000282: [BP] cellular bud site selection,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000289: [BP] nuclear-transcribed mRNA poly(A) tail shortening,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000302: [BP] response to reactive oxygen species,78,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000349: [BP] generation of catalytic spliceosome for first transesterification step,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000372: [BP] Group I intron splicing,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000395: [BP] mRNA 5-splice site recognition,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
"GO:0000398: [BP] mRNA splicing, via spliceosome",Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000413: [BP] protein peptidyl-prolyl isomerization,103,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000422: [BP] mitophagy,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000453: [BP] enzyme-directed rRNA 2-O-methylation,49,FALSE,FALSE,FALSE,FALSE,0,0,0
"GO:0000462: [BP] maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
"GO:0000463: [BP] maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
"GO:0000466: [BP] maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000492: [BP] box C/D snoRNP assembly,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
"GO:0000716: [BP] transcription-coupled nucleotide-excision repair, DNA damage recognition",24,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000723: [BP] telomere maintenance,622,FALSE,FALSE,FALSE,TRUE,0,0,0
GO:0000724: [BP] double-strand break repair via homologous recombination,72,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000725: [BP] recombinational repair,259,FALSE,FALSE,FALSE,FALSE,0,0,0
"GO:0000737: [BP] DNA catabolic process, endonucleolytic",234,FALSE,FALSE,FALSE,FALSE,0,0,0
"GO:0000738: [BP] DNA catabolic process, exonucleolytic",Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000742: [BP] karyogamy involved in conjugation with cellular fusion,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000743: [BP] nuclear migration involved in conjugation with cellular fusion,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000746: [BP] conjugation,0,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000747: [BP] conjugation with cellular fusion,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000749: [BP] response to pheromone involved in conjugation with cellular fusion,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000750: [BP] pheromone-dependent signal transduction involved in conjugation with cellular fusion,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000754: [BP] adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0000902: [BP] cell morphogenesis,195,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000917: [BP] barrier septum assembly,181,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000918: [BP] barrier septum site selection,184,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000920: [BP] cell separation after cytokinesis,321,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000921: [BP] septin ring assembly,499,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0000967: [BP] rRNA 5-end processing,18,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0001113: [BP] transcriptional open complex formation at RNA polymerase II promoter,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0001123: [BP] transcription initiation from bacterial-type RNA polymerase promoter,103,FALSE,FALSE,FALSE,FALSE,0,0,0
"GO:0001172: [BP] transcription, RNA-templated",Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0001174: [BP] transcriptional start site selection at RNA polymerase II promoter,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0001403: [BP] invasive growth in response to glucose limitation,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0001407: [BP] glycerophosphodiester transport,637,FALSE,FALSE,FALSE,TRUE,0,0,0
GO:0001510: [BP] RNA methylation,271,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0001514: [BP] selenocysteine incorporation,801,FALSE,TRUE,TRUE,TRUE,0,0,0
GO:0001522: [BP] pseudouridine synthesis,180,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0001678: [BP] cellular glucose homeostasis,419,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0001680: [BP] tRNA 3-terminal CCA addition,504,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0001682: [BP] tRNA 5-leader removal,5,FALSE,FALSE,FALSE,FALSE,0,0,0
