# Gene Family	ABM006_Abundance-RPKs	BE108_Abundance-RPKs	BE109_Abundance-RPKs	BE110_Abundance-RPKs	BE111_Abundance-RPKs	BE112_Abundance-RPKs	BE114_Abundance-RPKs	BE115_Abundance-RPKs	BE116_Abundance-RPKs	BE117_Abundance-RPKs	BE118_Abundance-RPKs	BE119_Abundance-RPKs	BE121_Abundance-RPKs	BE124_Abundance-RPKs	BE208_Abundance-RPKs	BE209_Abundance-RPKs	BE210_Abundance-RPKs	BE211_Abundance-RPKs	BE212_Abundance-RPKs	BE213_Abundance-RPKs	BE214_Abundance-RPKs	BE215_Abundance-RPKs	BE216_Abundance-RPKs	BE217_Abundance-RPKs	BE218_Abundance-RPKs	BE219_Abundance-RPKs	BE221_Abundance-RPKs	BE319_Abundance-RPKs	BL105_Abundance-RPKs	BL106_Abundance-RPKs	BL107_Abundance-RPKs	BL108_Abundance-RPKs	BL110_Abundance-RPKs	BL111_Abundance-RPKs	BL112_Abundance-RPKs	BS001_Abundance-RPKs	BS005_Abundance-RPKs	DJA002_Abundance-RPKs	EBO001_Abundance-RPKs	ERR2503700_Abundance-RPKs	ERR2868193_Abundance-RPKs	EXB015.A2001_Abundance-RPKs	EXB015.A2101_Abundance-RPKs	EXB015.A2501_Abundance-RPKs	EXB015.A2601_Abundance-RPKs	EXB020.A0101_Abundance-RPKs	EXB021.A0101_Abundance-RPKs	EXB022.A0101_Abundance-RPKs	EXB023.A0101_Abundance-RPKs	FDM001_Abundance-RPKs	G0001_Abundance-RPKs	G0005_Abundance-RPKs	G0007_Abundance-RPKs	G0008_Abundance-RPKs	G0009_Abundance-RPKs	G0011_Abundance-RPKs	G0012_Abundance-RPKs	G0013_Abundance-RPKs	G0014_Abundance-RPKs	G0016_Abundance-RPKs	G0017_Abundance-RPKs	G0018_Abundance-RPKs	G0019_Abundance-RPKs	G0020_Abundance-RPKs	G0021_Abundance-RPKs	G0026_Abundance-RPKs	G0028_Abundance-RPKs	G0031_Abundance-RPKs	G0033_Abundance-RPKs	G0034_Abundance-RPKs	G0036_Abundance-RPKs	GDC002_Abundance-RPKs	GDC004_Abundance-RPKs	GDC005_Abundance-RPKs	Gb1wash_Abundance-RPKs	Gb2wash_Abundance-RPKs	LIB007.A0117_Abundance-RPKs	LIB012.A0101_Abundance-RPKs	LIB013.A0101_Abundance-RPKs	LIB014.A0101_Abundance-RPKs	LIB015.A0101_Abundance-RPKs	LOB001_Abundance-RPKs	MTK001_Abundance-RPKs	MTM001_Abundance-RPKs	MTM002_Abundance-RPKs	MTM004_Abundance-RPKs	MTM005_Abundance-RPKs	MTM006_Abundance-RPKs	MTM008_Abundance-RPKs	MTM009_Abundance-RPKs	MTM010_Abundance-RPKs	MTM011_Abundance-RPKs	MTM012_Abundance-RPKs	MTM013_Abundance-RPKs	MTS001_Abundance-RPKs	MTS002_Abundance-RPKs	MTS003_Abundance-RPKs
UNMAPPED	792629	1e+06	1e+06	1e+06	1e+06	996122	590221	1e+06	995809	1e+06	1e+06	1e+06	1e+06	1e+06	1e+06	1e+06	1e+06	1e+06	985912	1e+06	1e+06	978429	981895	997709	1e+06	1e+06	1e+06	1e+06	1e+06	1e+06	1e+06	971545	1e+06	1e+06	1e+06	832835	357605	771062	674598	906757	576149	993185	996373	998107	997933	996396	997464	994580	987896	774100	550252	936300	764919	745524	766692	679690	750872	864080	929481	585848	720576	759922	630149	873850	677937	703975	831809	890411	908612	788462	798156	813748	523760	641367	564960	661511	1e+06	994031	1e+06	993199	970025	913827	598190	735457	800329	705557	632505	673925	579285	827814	647457	748057	612034	602798	697404	702641	713184
UNGROUPED	42010.2	0	0	0	0	3877.94	144388	0	4190.6	0	0	0	0	0	0	0	0	0	14088.3	0	0	11876.3	12296.5	2291.43	0	0	0	0	0	0	0	28455.2	0	0	0	46061	121539	41415.8	45918.4	22751.1	146174	4537.72	2853.5	1386.23	1218.23	1545.13	2163.69	2841.65	6838.22	40780.3	122972	13062.9	37083.8	47545.1	46524.3	62174.9	35199.5	26460.2	17314	71546.9	52762.7	45447.7	65898.9	19396	51925.4	67974.7	23482.7	19932	16001	31373.7	38680.2	45720.3	60192.6	61753	62734.5	54419.5	0	1897.45	0	3861.04	6983.23	20362.9	47681.2	38204.5	41276.1	40299.7	47438.6	51333.3	52389.7	32515.4	60591.8	35788.2	77709.8	80155.6	52544.7	44976.3	63510.2
GO:0000001: [BP] mitochondrion inheritance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10365	0	0	0	0	0	0	0	0	0	0.0427649	0.372722	0	0	1.46795	4.33332	0	0.559196	2.42776	0	0.732762	0	0	0.066107	0	5.60048	0	0	0	0	0	9.47985	28.8694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000002: [BP] mitochondrial genome maintenance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.38033	0	0	0	0	0	0	0	0	0	0.315686	0.354375	0	0	0	8.99523	0	1.44012	0	0	0	0	0	0	0	10.419	0	0	0	0	0	10.5163	79.9468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000009: [MF] alpha-1,6-mannosyltransferase activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63689	0	0	0	0	0	0	0	0	0	0.214202	0	0	0	0	0.102734	0	0.160208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000010: [MF] trans-hexaprenyltranstransferase activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.466339	0	0	0	0	0	0	0	0	0	0.934313	0	0	0	0	0	0	7.04794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000011: [BP] vacuole inheritance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4086	0	0	0	0	0	0	0	0	0	0.337683	0.241169	0	0	0	1.82908	0	1.24205	4.00071	0	0.84316	0	0	0.114568	0	2.17694	0	0	0	0	0	4.63421	45.0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000012: [BP] single strand break repair	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.502837	0	0	0	0	0	0	0	0	0	0.213164	0	0	0	0	0.153167	0	0.156487	0	0	0	0	0.0925275	0	0.0219594	0	0	0	0	0	0	0	16.3468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000014: [MF] single-stranded DNA endodeoxyribonuclease activity	15.0521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.05367	38.1136	0	5.489	0	0	0	0	0	0	0	0	29.7603	0.603996	3.73451	27.0947	18.5922	27.7754	11.6239	41.7816	11.6361	3.42637	10.7972	30.2037	25.5634	54.3103	16.1136	36.02	14.8741	10.8218	0	0	26.2287	5.34054	1.2635	41.5279	9.33117	23.0209	24.5654	0	0	0	0	0	4.54615	31.3623	2.88683	2.2213	28.0552	6.50207	22.6971	8.10107	9.79581	21.1945	0	13.3772	5.87239	9.15646	6.0117	3.88324
GO:0000015: [CC] phosphopyruvate hydratase complex	58.4906	0	0	0	0	0	63.2795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.28	51.4107	67.8875	110.787	2.93195	36.2863	0	0	0	0	0	0	0	0	59.876	60.4784	33.8859	70.596	77.2428	63.4318	55.1218	74.0012	46.3099	13.413	50.7979	87.5904	82.9718	97.0349	31.5299	97.4268	55.025	61.7845	6.59402	0	36.1272	91.1312	34.6672	57.459	87.0452	85.2011	95.8392	0	0	0	0	9.81969	23.1637	93.0202	68.5287	29.7712	91.4787	78.2337	74.3293	99.7011	39.6054	115.677	44.4534	87.1379	48.3152	69.2114	68.7815	41.0502
GO:0000018: [BP] regulation of DNA recombination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.332148	0	0	0	0	0	0	0	0	0	0.033891	0	0	0	0	0.349747	0	0.158676	0	0	0	0	0	0	0	0.579558	0	0	0	0	0	0	7.70684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000019: [BP] regulation of mitotic recombination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.642482	0.374692	0	0.10593	0	0	0	0	0	0	0	0.9596	0	0	0	0	0	0.793628	8.93808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000022: [BP] mitotic spindle elongation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69457	0	0	0	0	0	0	0	0	0	0	0.152509	0	0	0.746351	0.351946	0	0.724656	0	0	0	0	0	0.0614027	0	0.38199	0	0	0	23.7816	0	0.938841	31.2247	0	0	0	0	0	0	0	0	0	0	0	2.21091	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000023: [BP] maltose metabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0832603	0	0	0	0	0	0	0	0	0	0	0.245965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27415	0	0	0	0
GO:0000025: [BP] maltose catabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.777638	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0522037	0	0	0	0	0	0	0	0.0557112	0	0.242398	0.366407	0	0	0	0	0	0.367537	0.0833118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170765	0	0.478187	0.413523	0
GO:0000026: [MF] alpha-1,2-mannosyltransferase activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.587135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000027: [BP] ribosomal large subunit assembly	67.5531	0	0	0	0	0	41.4884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.2229	83.3461	87.3513	124.16	7.93351	62.7744	0	0	0	0	0	0	0	0	94.2288	67.9429	40.8994	80.0385	105.774	85.9794	81.3008	82.0769	73.0347	15.3543	79.725	100.453	124.577	104.131	44.8094	124.592	104.576	73.6807	26.1515	40.878	59.583	78.5758	56.0054	137.521	103.606	99.6197	99.0651	0	0	0	0	15.1966	20.9703	120.004	93.3861	57.8228	120.505	85.0136	91.1623	124.619	43.487	119.494	78.2811	113.665	67.5335	124.171	119.32	88.3864
GO:0000028: [BP] ribosomal small subunit assembly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25106	0	0	0	0	0	0	0	0	0	0.367609	0.409643	0	0	0	2.31488	0	0	0	0	0	0	0	0.254711	0	1.73746	0	0	0	0.570668	0	1.47231	52.4793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000030: [MF] mannosyltransferase activity	5.52337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.30537	0	0.703461	1.16296	0	11.8063	0	0	0	0	0	0	0	0	13.4391	13.3074	1.16185	6.40563	2.05041	3.69344	6.32045	0	2.33637	1.26795	2.17539	3.02847	0.760171	6.56476	6.40324	7.2155	52.7707	0.235006	0	17.1634	7.53937	0	6.7535	106.204	1.48645	5.84389	1.47093	0	0	0	0	0	1.29264	0	0	10.7116	5.62351	0.17267	18.0882	0	2.38715	0.101447	0.303288	12.7921	42.6589	5.7112	1.31511	27.8777
GO:0000031: [MF] mannosylphosphate transferase activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.323411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000032: [BP] cell wall mannoprotein biosynthetic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5436	0	0	0	0	0	0	0	0	0	0	0.0758827	0	0.412263	0	0.826811	0	0.205075	0	0	0	0	0	0	0	0.573784	0	0	0	0	0	1.16495	16.364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000034: [MF] adenine deaminase activity	3.11852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04365	108.73	5.29465	8.85142	10.9077	23.5247	0	0	0	0	0	0	0	0	0	17.6052	0.645696	4.63685	7.08023	0.179968	32.1492	6.92997	3.87169	4.43497	53.2939	3.07977	2.00029	2.03583	2.04544	7.38495	9.24292	0.838972	20.2162	17.7027	1.50596	0	8.34688	8.19631	14.2087	55.5248	0.609996	0	0	0	0	0	1.75564	9.85654	26.3977	10.7815	7.53276	56.1887	12.8498	32.9037	4.0063	14.7385	19.3938	31.8568	16.8023	12.7083	14.052	21.6709
GO:0000036: [MF] ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	61.6351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.1708	55.1614	84.6773	61.2353	68.6139	38.2148	0	0	0	0	0	0	0	0	64.4645	98.093	27.2296	35.5425	77.4565	53.1283	49.665	60.868	39.9944	8.39088	58.0141	82.3386	57.1691	61.2156	26.3882	79.5871	47.5944	52.5205	15.1134	51.0013	49.9853	117.01	40.3953	49.8315	56.3988	113.285	109.469	0	0	0	0	11.799	29.7923	109.349	69.9864	30.8058	83.6324	75.7608	48.6179	91.2316	30.607	112.345	49.3529	69.2084	50.6764	49.5595	56.8425	64.4637
GO:0000038: [BP] very long-chain fatty acid metabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.555754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
