classification	bin	label
Sporosarcina	bin.9	Sporosarcina (bin.9)
Pseudogracilibacillus	bin.8	Pseudogracilibacillus (bin.8)
Thermoguttaceae	bin.7	Thermoguttaceae (bin.7)
Proteus	bin.6	Proteus (bin.6)
Ruminococcaceae	bin.4	Ruminococcaceae (bin.4)
Phocaeicola	bin.36	Phocaeicola (bin.36)
Saccharimonadaceae	bin.35	Saccharimonadaceae (bin.35)
Macrococcus	bin.34	Macrococcus (bin.34)
Desulfovibrionaceae	bin.33	Desulfovibrionaceae (bin.33)
Actinomycetaceae	bin.29	Actinomycetaceae (bin.29)
Providencia	bin.27	Providencia (bin.27)
Eggerthellaceae	bin.26	Eggerthellaceae (bin.26)
Vagococcus	bin.25, bin.32	Vagococcus (bin.25, bin.32)
Paludibacteraceae	bin.24	Paludibacteraceae (bin.24)
Propionibacterium	bin.23, bin.3	Propionibacterium (bin.23, bin.3)
Bacteroidales	bin.22	Bacteroidales (bin.22)
Propionimicrobium	bin.21	Propionimicrobium (bin.21)
Bacillus	bin.20	Bacillus (bin.20)
Neisseria	bin.2	Neisseria (bin.2)
Rothia	bin.19	Rothia (bin.19)
Limosilactobacillus	bin.18	Limosilactobacillus (bin.18)
Mailhella	bin.17	Mailhella (bin.17)
Corynebacterium	bin.16	Corynebacterium (bin.16)
Lancefieldella	bin.15	Lancefieldella (bin.15)
Lautropia	bin.13	Lautropia (bin.13)
Exiguobacterium	bin.12	Exiguobacterium (bin.12)
Erysipelothrix	bin.11, bin.30	Erysipelothrix (bin.11, bin.30)
Veillonella	bin.10	Veillonella (bin.10)
Planococcaceae	bin.1, bin.14, bin.28	Planococcaceae (bin.1, bin.14, bin.28)
