Genomic bins	G0008_m_decontam	G0033_m_decontam	DJA002_m_decontam	ABM006_m_decontam	MTM012_m_decontam	MTM011_m_decontam	GDC005_m_decontam	EXB015.A2501_m_decontam	LIB015.A0101_m_decontam	LIB014.A0101_m_decontam	FDM001_m_decontam	G0021_m_decontam	G0034_m_decontam	G0019_m_decontam	G0016_m_decontam	G0031_m_decontam	MTM013_m_decontam	Gb2wash_m_decontam	EBO001_m_decontam	MTK001_m_decontam	ERR2503700_m_decontam	MTM008_m_decontam	MTM010_m_decontam	MTM004_m_decontam	EXB015.A2601_m_decontam	EXB023.A0101_m_decontam	G0013_m_decontam	G0028_m_decontam	G0012_m_decontam	G0017_m_decontam	MTM006_m_decontam	MTS003_m_decontam	MTM001_m_decontam	MTM002_m_decontam	Gb1wash_m_decontam	GDC002_m_decontam	MTM009_m_decontam	G0036_m_decontam	BS001_m_decontam	G0009_m_decontam	G0020_m_decontam	G0005_m_decontam	G0018_m_decontam	G0026_m_decontam	G0011_m_decontam	MTS001_m_decontam	EXB022.A0101_m_decontam	G0007_m_decontam	BS005_m_decontam	ERR2868193_m_decontam	GDC004_m_decontam	G0014_m_decontam	MTM005_m_decontam	MTS002_m_decontam	LOB001_m_decontam	G0001_m_decontam
bin.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.077563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.226086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin.36	0.0	0.0	9.6963635	0.0	0.0	0.0	181.0343535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.55170849999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.773413	7.329289	0.0	0.0	0.0	0.0	0.0	13.030028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.8357	0.0	0.0	9.640657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.753689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin.25	0.548582	0.0	0.0	0.0	0.717103	6.313624000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.390377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9400189999999999	0.0	0.0	0.0	0.0	0.0	4.861622	0.0	0.0	0.0	0.0	6.539568	0.0	6.4218980000000006	0.0	0.0	2.433592	0.0	1.6080665	2.317352	0.220902	45.478570500000004	31.056625500000003	0.0	0.0	0.0	0.0	1.100687	17.7109685	53.942481	0.0	7.454078	0.0	0.0
bin.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.660989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin.6	0.024196	0.0	0.0	0.0	0.730125	0.0	0.0	0.0	0.0	0.0	0.0	0.115963	0.0	0.057337	0.0	0.0	0.600198	0.375531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.169901	0.0	0.0	0.0	0.0	0.0	1.039419	0.0	0.482284	0.0	0.0	0.0	0.0	0.0	0.873887	0.0	37.682096	0.0	0.0	0.0	0.691587	0.0	0.55216	0.067616	0.0	0.0	0.0	0.0	0.046011
bin.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.253592	0.0	0.0	0.0	0.0	0.0	0.0	193.727623	0.0	0.0	0.0	0.0	0.0
bin.15	0.0	0.0	18.405016	0.0	0.0	1.138606	85.709692	0.0	0.0	0.0	0.0	3.9011585	0.0	0.0	0.0	0.0	1.983156	0.0	182.21309	0.323261	0.0	2.0120500000000003	3.0952	5.507105	0.0	0.0	0.0	0.0	1.961672	1.7500879999999999	3.187463	10.950467499999998	4.217863	0.0	4.028583	1.941043	6.668882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bin.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.549714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
