source,classification,ID,Species,Culture collection number,Isolation source,Country,Continent,Category 1,Category 2,Category 3
bacdive,Desulfovibrionaceae,4068,Bilophila wadsworthia,DSM 11045,"anaerobic mud, sewage plant",Germany,Europe,#Condition,#Anoxic (anaerobic),
bacdive,Desulfovibrionaceae,4068,,,,,,#Environmental,#Terrestrial,#Mud (Sludge)
bacdive,Desulfovibrionaceae,4068,,,,,,#Engineered,#Waste,#Water treatment plant
bacdive,Desulfovibrionaceae,146880,Bilophila wadsworthia,"CCUG 32349, ATCC 49260",Human perforated appendiceal abscess,USA,North America,#Infection,#Patient,
bacdive,Desulfovibrionaceae,146880,,,,,,#Host Body-Site,#Other,#Abscess
bacdive,Desulfovibrionaceae,146880,,,,,,#Host Body-Site,#Gastrointestinal tract,
bacdive,Desulfovibrionaceae,146880,,,,,,#Host,#Human,
bacdive,Desulfovibrionaceae,151266,Bilophila wadsworthia,CCUG 43589,"Human blood,73-yr-old man",Sweden,Europe,#Infection,#Patient,
bacdive,Desulfovibrionaceae,151266,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Desulfovibrionaceae,151266,,,,,,#Host,#Human,#Male
bacdive,Desulfovibrionaceae,151302,Bilophila wadsworthia,CCUG 43686,Human blood,Sweden,Europe,#Host Body Product,#Fluids,#Blood
bacdive,Desulfovibrionaceae,151302,,,,,,#Host,#Human,
bacdive,Desulfovibrionaceae,151841,Bilophila wadsworthia,CCUG 45035,Human blood,Sweden,Europe,#Host Body Product,#Fluids,#Blood
bacdive,Desulfovibrionaceae,151841,,,,,,#Host,#Human,
bacdive,Desulfovibrionaceae,151848,Bilophila wadsworthia,CCUG 45045,Human blood,Norway,Europe,#Host Body Product,#Fluids,#Blood
bacdive,Desulfovibrionaceae,151848,,,,,,#Host,#Human,
bacdive,Desulfovibrionaceae,4104,Cupidesulfovibrio oxamicus,"DSM 1925, ATCC 33405, NCIMB 9442, VKM B-1766, Monticello 2",mud,USA,North America,#Environmental,#Terrestrial,#Mud (Sludge)
bacdive,Desulfovibrionaceae,4115,Cupidesulfovibrio termitidis,"DSM 5308, ATCC 49858, VKM B-1765",hindgut of the termite<I> Heterotermes indicola</I>,Germany,Europe,#Host Body-Site,#Gastrointestinal tract,
bacdive,Desulfovibrionaceae,4115,,,,,,#Host,#Arthropoda,#Insecta
bacdive,Desulfovibrionaceae,4116,Cupidesulfovibrio termitidis,"DSM 11274, KSS 1",hindgut of the wood-feeding cockroach <I>Cryptocercus punctulatus</I>,USA,North America,#Host Body-Site,#Gastrointestinal tract,
bacdive,Desulfovibrionaceae,4116,,,,,,#Host,#Plants,
bacdive,Desulfovibrionaceae,4116,,,,,,#Host,#Arthropoda,#Insecta
bacdive,Desulfovibrionaceae,4178,Desulfobaculum xiamenense,"DSM 24233, CGMCC 1.5166",marine mangrove sediment,China,Asia,#Environmental,#Aquatic,#Sediment
bacdive,Desulfovibrionaceae,4178,,,,,,#Environmental,#Aquatic,#Marine
bacdive,Desulfovibrionaceae,4178,,,,,,#Environmental,#Aquatic,#Mangrove
bacdive,Desulfovibrionaceae,4071,Desulfocurvibacter africanus,"DSM 2603, ATCC 19996, NCIMB 8401, VKM B-1757",well water,Libya,Africa,#Engineered,#Built environment,#Water reservoir (Aquarium/pool)
bacdive,Desulfovibrionaceae,4071,,,,,,#Environmental,#Aquatic,
bacdive,Desulfovibrionaceae,4171,Desulfocurvibacter africanus subsp. uniflagellum,"DSM 23860, JCM 15510, KCTC 5649",From subsurface sediments of a uranium contaminated aquifer###subsurface sediments of a uranium-contaminated site in Shiprock###subsurface aquifer sediment,USA,North America,#Environmental,#Terrestrial,#Sediment
bacdive,Desulfovibrionaceae,4171,,,,,,#Engineered,#Contamination,
bacdive,Desulfovibrionaceae,23898,Desulfocurvus thunnarius,"DSM 26129, JCM 18546, Olac 40",Anaerobic sequencing batch reactor treating tuna cooking wastewater in Tunisia###sludge from an anaerobic sequencing batch reactor treating tuna cooking wastewater,Tunisia,Africa,#Condition,#Anoxic (anaerobic),
bacdive,Desulfovibrionaceae,23898,,,,,,#Environmental,#Terrestrial,#Mud (Sludge)
bacdive,Desulfovibrionaceae,23898,,,,,,#Engineered,#Waste,#Wastewater
bacdive,Desulfovibrionaceae,23898,,,,,,#Engineered,#Bioreactor,
