taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6,structural_zero (gorilla),structural_zero (beringei)
2058152,13,FALSE,FALSE,FALSE,FALSE,0,0
1463165,9,FALSE,FALSE,FALSE,FALSE,0,0
28901,125,FALSE,FALSE,FALSE,FALSE,0,0
546,429,FALSE,TRUE,TRUE,TRUE,0,0
184912,2,FALSE,FALSE,FALSE,FALSE,0,0
1703250,139,FALSE,FALSE,FALSE,FALSE,0,0
1920114,188,FALSE,FALSE,FALSE,FALSE,0,0
83655,80,FALSE,FALSE,FALSE,FALSE,0,0
1163710,4,FALSE,FALSE,FALSE,FALSE,0,0
61646,456,TRUE,TRUE,TRUE,TRUE,0,0
1778262,Inf,TRUE,TRUE,TRUE,TRUE,1,0
615,0,FALSE,FALSE,FALSE,FALSE,0,0
614,0,FALSE,FALSE,FALSE,FALSE,0,0
138074,388,FALSE,TRUE,TRUE,TRUE,0,0
632,0,FALSE,FALSE,FALSE,FALSE,0,0
630,49,FALSE,FALSE,FALSE,FALSE,0,0
1805933,0,FALSE,FALSE,FALSE,FALSE,0,0
58169,0,FALSE,FALSE,FALSE,FALSE,0,0
41202,170,FALSE,FALSE,FALSE,FALSE,0,0
584,15,FALSE,FALSE,FALSE,FALSE,0,0
1574161,1,FALSE,FALSE,FALSE,FALSE,0,0
582,0,FALSE,FALSE,FALSE,FALSE,0,0
470934,8,FALSE,FALSE,FALSE,FALSE,0,0
2052056,20,FALSE,FALSE,FALSE,FALSE,0,0
2575375,93,FALSE,FALSE,FALSE,FALSE,0,0
1484158,23,FALSE,FALSE,FALSE,FALSE,0,0
55209,4,FALSE,FALSE,FALSE,FALSE,0,0
549,3,FALSE,FALSE,FALSE,FALSE,0,0
66269,Inf,TRUE,TRUE,TRUE,TRUE,1,0
1619313,1,FALSE,FALSE,FALSE,FALSE,0,0
569,305,FALSE,FALSE,FALSE,TRUE,0,0
703,1,FALSE,FALSE,FALSE,FALSE,0,0
1239307,15,FALSE,FALSE,FALSE,FALSE,0,0
353,21,FALSE,FALSE,FALSE,FALSE,0,0
2778051,2,FALSE,FALSE,FALSE,FALSE,0,0
651,15,FALSE,FALSE,FALSE,FALSE,0,0
645,19,FALSE,FALSE,FALSE,FALSE,0,0
747,438,TRUE,TRUE,TRUE,TRUE,0,0
727,446,TRUE,TRUE,TRUE,TRUE,0,0
729,4,FALSE,FALSE,FALSE,FALSE,0,0
714,3,FALSE,FALSE,FALSE,FALSE,0,0
672,187,FALSE,FALSE,FALSE,FALSE,0,0
663,0,FALSE,FALSE,FALSE,FALSE,0,0
2587865,2,FALSE,FALSE,FALSE,FALSE,0,0
2714948,5,FALSE,FALSE,FALSE,FALSE,0,0
190893,0,FALSE,FALSE,FALSE,FALSE,0,0
1891207,78,FALSE,FALSE,FALSE,FALSE,0,0
2829502,460,TRUE,TRUE,TRUE,TRUE,0,0
45056,88,FALSE,FALSE,FALSE,FALSE,0,0
