taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6,structural_zero (beringei),structural_zero (gorilla),structural_zero (graueri <1000),structural_zero (graueri >1000)
2058152,6,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1463165,6,FALSE,FALSE,FALSE,FALSE,0,0,0,0
28901,48,FALSE,FALSE,FALSE,FALSE,0,0,0,0
546,310,FALSE,FALSE,TRUE,TRUE,0,0,0,0
184912,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1703250,25,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1920114,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1,1
83655,Inf,TRUE,TRUE,TRUE,TRUE,0,0,0,1
1163710,1,FALSE,FALSE,FALSE,FALSE,0,0,0,0
61646,415,TRUE,TRUE,TRUE,TRUE,0,0,0,0
1778262,Inf,TRUE,TRUE,TRUE,TRUE,0,1,1,0
615,3,FALSE,FALSE,FALSE,FALSE,0,0,0,0
614,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
138074,245,FALSE,FALSE,FALSE,FALSE,0,0,0,0
632,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
630,5,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1805933,Inf,TRUE,TRUE,TRUE,TRUE,0,0,0,1
58169,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
41202,42,FALSE,FALSE,FALSE,FALSE,0,0,0,0
584,11,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1574161,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1,1
582,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
470934,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2052056,204,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2575375,105,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1484158,14,FALSE,FALSE,FALSE,FALSE,0,0,0,0
55209,4,FALSE,FALSE,FALSE,FALSE,0,0,0,0
549,3,FALSE,FALSE,FALSE,FALSE,0,0,0,0
66269,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0,0
1619313,1,FALSE,FALSE,FALSE,FALSE,0,0,0,0
569,264,FALSE,FALSE,FALSE,TRUE,0,0,0,0
703,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
353,10,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2778051,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
651,8,FALSE,FALSE,FALSE,FALSE,0,0,0,0
645,10,FALSE,FALSE,FALSE,FALSE,0,0,0,0
747,380,FALSE,TRUE,TRUE,TRUE,0,0,0,0
727,374,FALSE,TRUE,TRUE,TRUE,0,0,0,0
729,3,FALSE,FALSE,FALSE,FALSE,0,0,0,0
714,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
672,49,FALSE,FALSE,FALSE,FALSE,0,0,0,0
663,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2587865,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2714948,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1,0
190893,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1891207,38,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2829502,415,TRUE,TRUE,TRUE,TRUE,0,0,0,0
45056,133,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2590015,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1514074,10,FALSE,FALSE,FALSE,FALSE,0,0,0,0
28108,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2014542,6,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1166950,4,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2792603,9,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2812648,1,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2815360,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2731112,8,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2613770,25,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2849093,3,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2028343,10,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2048897,85,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1571470,6,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2020312,7,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2731096,66,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2603277,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
2785056,5,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1301032,5,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1981173,9,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2020311,163,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2590777,9,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2364272,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1703969,3,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2020313,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
384,8,FALSE,FALSE,FALSE,FALSE,0,0,0,0
29449,9,FALSE,FALSE,FALSE,FALSE,0,0,0,0
379684,7,FALSE,FALSE,FALSE,FALSE,0,0,0,0
293958,5,FALSE,FALSE,FALSE,FALSE,0,0,0,0
396,7,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1312183,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
348824,1,FALSE,FALSE,FALSE,FALSE,0,0,0,0
56730,4,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1138194,9,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1138189,3,FALSE,FALSE,FALSE,FALSE,0,0,0,0
398,4,FALSE,FALSE,FALSE,FALSE,0,0,0,0
451876,46,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2583231,2,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1138190,8,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1538158,6,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1368430,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
2081791,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
240521,47,FALSE,FALSE,FALSE,FALSE,0,0,0,0
648995,1,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1538159,4,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2267833,39,FALSE,FALSE,FALSE,FALSE,0,0,0,0
448181,1,FALSE,FALSE,FALSE,FALSE,0,0,0,0
358,1,FALSE,FALSE,FALSE,FALSE,0,0,0,0
1176649,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
373,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
359,12,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2579248,Inf,TRUE,TRUE,TRUE,TRUE,1,0,0,0
1183413,12,FALSE,FALSE,FALSE,FALSE,0,0,0,0
160699,18,FALSE,FALSE,FALSE,FALSE,0,0,0,0
