feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X2210	Approximate.altitude	 550	6.29768054864068	0.462938445344084	46	5	4.05898446940521e-14	3.7212769615507e-10
X1505907	Approximate.altitude	 550	5.93073733756289	0.490209777722797	46	5	7.42875914202854e-13	3.40534319070588e-09
X2017485	Approximate.altitude	 550	6.12928301694497	0.572519822248042	46	5	1.37375066831318e-11	4.19818204236507e-08
X1599	Approximate.altitude	 700	-4.85224689569392	0.512795985969758	46	6	2.27743795399909e-10	5.21988779056592e-07
X1505907	Approximate.altitude	2100	4.89447723577799	0.561308628599811	46	5	1.34101438533248e-09	2.45888397694564e-06
X1599	Approximate.altitude	 600	-4.58558022902725	0.541572921916203	46	6	2.49205438449414e-09	3.80785909950704e-06
X1599	Spec.subspecies	beringei	-4.87446911791614	0.584244767558315	46	6	3.38800611061813e-09	4.43732000316386e-06
X145262	Approximate.altitude	 700	-3.34694478497363	0.410580849848696	46	5	5.46618366990255e-09	6.26424648570832e-06
X145262	Approximate.altitude	 600	-3.48027811830696	0.433621706525038	46	5	7.50143501828695e-09	7.64146180529497e-06
X1335048	Approximate.altitude	1000	-6.87444852820601	0.868535784741525	46	6	9.94006073184413e-09	8.28458879904973e-06
X1335048	Approximate.altitude	1300	-6.87444852820602	0.868535784741525	46	6	9.94006073184409e-09	8.28458879904973e-06
X1389011	Approximate.altitude	1000	-7.84661989132099	1.004997259171	46	5	1.30679287653393e-08	9.21590545543311e-06
X1389011	Approximate.altitude	1300	-7.84661989132099	1.004997259171	46	5	1.30679287653393e-08	9.21590545543311e-06
X1968541	Approximate.altitude	1300	-6.50513120051097	0.847392677880749	46	8	1.82794612090036e-08	1.19704357402961e-05
X1335048	Approximate.altitude	 500	-6.87444852820601	0.904790571545446	46	6	2.23935268049993e-08	1.28314908592647e-05
X1335048	Approximate.altitude	1600	-6.87444852820601	0.904790571545446	46	6	2.23935268049994e-08	1.28314908592647e-05
X145262	Spec.subspecies	beringei	-3.50250034052918	0.467787813763998	46	5	2.98022246955484e-08	1.4380357684673e-05
X1389011	Approximate.altitude	1600	-7.84661989132099	1.0469482783574	46	5	2.92368778691336e-08	1.4380357684673e-05
X1389011	Approximate.altitude	1800	-7.84661989132099	1.0469482783574	46	5	2.92368778691336e-08	1.4380357684673e-05
X1335048	Approximate.altitude	 600	-5.26046165040482	0.705115687992221	46	6	3.19613614106391e-08	1.4651088070637e-05
X881	Approximate.altitude	1000	-4.61528162004571	0.624166391574511	46	5	3.79588023437465e-08	1.58184681767031e-05
X881	Approximate.altitude	1300	-4.61528162004571	0.624166391574511	46	5	3.79588023437465e-08	1.58184681767031e-05
X1968541	Approximate.altitude	1600	-6.50513120051096	0.882764900206526	46	8	4.05436066551739e-08	1.61610341658537e-05
X2282656	Approximate.altitude	 550	5.64385618977473	0.776380616013335	46	5	5.26011956938151e-08	2.00469837428141e-05
X1599	Approximate.altitude	 400	-4.87446911791614	0.674627747644847	46	6	5.90388919127376e-08	2.00469837428141e-05
X1599	Approximate.altitude	 550	-4.87446911791614	0.674627747644847	46	6	5.9038891912738e-08	2.00469837428141e-05
X1599	Approximate.altitude	 650	-4.87446911791614	0.674627747644847	46	6	5.90388919127376e-08	2.00469837428141e-05
X1968541	Approximate.altitude	1000	-6.0841197318997	0.847392677880749	46	8	6.65561414684124e-08	2.17923823208002e-05
X881	Approximate.altitude	 500	-4.61528162004571	0.650220608170136	46	5	8.25629066167626e-08	2.52116950354898e-05
X881	Approximate.altitude	1600	-4.61528162004571	0.650220608170136	46	5	8.2562906616762e-08	2.52116950354898e-05
X1599	Approximate.altitude	1000	-4.71891356236058	0.667089770858196	46	6	8.79989355514477e-08	2.52116950354898e-05
X1599	Approximate.altitude	1300	-4.71891356236058	0.667089770858196	46	6	8.79989355514472e-08	2.52116950354898e-05
X1389011	Approximate.altitude	 500	-7.34661989132099	1.0469482783574	46	5	1.02242148481818e-07	2.67816004937517e-05
X2587858	Approximate.altitude	1000	-8.0002852572702	1.1390913218429	46	6	1.00572563967465e-07	2.67816004937517e-05
X2587858	Approximate.altitude	1300	-8.0002852572702	1.1390913218429	46	6	1.00572563967465e-07	2.67816004937517e-05
X60137	Approximate.altitude	1000	-6.51348516843639	0.933276224809297	46	7	1.13082170481654e-07	2.72825615519949e-05
X60137	Approximate.altitude	1300	-6.51348516843639	0.933276224809298	46	7	1.13082170481654e-07	2.72825615519949e-05
X1926290	Approximate.altitude	 550	6.04439411935845	0.863959123231163	46	6	1.08098203175002e-07	2.72825615519949e-05
X1968541	Approximate.altitude	 600	-4.75372655120947	0.687950780567174	46	8	1.35898531495812e-07	3.19466086347079e-05
X1335048	Approximate.altitude	 800	-6.87444852820602	1.00574384676239	46	6	1.65867958751302e-07	3.62066058531415e-05
X1335048	Approximate.altitude	2100	-6.87444852820601	1.00574384676239	46	6	1.65867958751303e-07	3.62066058531415e-05
X1389011	Approximate.altitude	 600	-5.58357835111352	0.815901136464453	46	5	1.62251944056029e-07	3.62066058531415e-05
X1968541	Approximate.altitude	 500	-6.00513120051096	0.882764900206526	46	8	1.80928845171575e-07	3.7698992103023e-05
X1968541	Approximate.altitude	1800	-6.00513120051096	0.882764900206526	46	8	1.80928845171576e-07	3.7698992103023e-05
X1599	Approximate.altitude	1600	-4.71891356236058	0.694935713243561	46	6	1.86928988667541e-07	3.8083665957867e-05
X1389011	Approximate.altitude	 800	-7.846619891321	1.16376299880966	46	5	2.12533142893494e-07	3.90211334292997e-05
X1389011	Approximate.altitude	2100	-7.84661989132099	1.16376299880966	46	5	2.12533142893494e-07	3.90211334292997e-05
X2587858	Approximate.altitude	1600	-8.0002852572702	1.18663975191237	46	6	2.12811591564679e-07	3.90211334292997e-05
X2587858	Approximate.altitude	1800	-8.0002852572702	1.18663975191237	46	6	2.1281159156468e-07	3.90211334292997e-05
X1652495	Approximate.altitude	1000	-8.8776896891506	1.31131214327552	46	7	1.97383985963572e-07	3.90211334292997e-05
X60137	Approximate.altitude	1600	-6.51348516843639	0.972233434349833	46	7	2.38462558237876e-07	4.20427833447086e-05
X60137	Approximate.altitude	1800	-6.51348516843639	0.972233434349833	46	7	2.38462558237876e-07	4.20427833447086e-05
X1183412	Approximate.altitude	 600	-3.55195301567293	0.531413984666158	46	7	2.48617324969484e-07	4.30061063267968e-05
X1183412	Approximate.altitude	 700	-3.35389610538356	0.503176852455643	46	7	2.61295630681219e-07	4.43621915201003e-05
X1968541	Approximate.altitude	 800	-6.50513120051097	0.981260630295963	46	8	2.87904426235456e-07	4.63071540302923e-05
X1968541	Approximate.altitude	2100	-6.50513120051096	0.981260630295963	46	8	2.87904426235456e-07	4.63071540302923e-05
X2587858	Approximate.altitude	 600	-6.14274278136031	0.924764615572234	46	6	2.77915689643385e-07	4.63071540302923e-05
X60137	Approximate.altitude	 600	-4.92260935919317	0.757674834939623	46	7	4.11367546650479e-07	6.28569611281932e-05
X1652495	Approximate.altitude	1600	-8.8776896891506	1.3660494874622	46	7	4.0935970843984e-07	6.28569611281932e-05
X1652495	Approximate.altitude	1800	-8.8776896891506	1.3660494874622	46	7	4.09359708439843e-07	6.28569611281932e-05
X145262	Approximate.altitude	 400	-3.50250034052918	0.540154840400542	46	5	4.25782314916216e-07	6.29608429540623e-05
X145262	Approximate.altitude	 650	-3.50250034052918	0.540154840400542	46	5	4.25782314916211e-07	6.29608429540623e-05
X1389011	Approximate.altitude	 700	-4.9803784145835	0.772547538467724	46	5	4.7131677810344e-07	6.85878130421006e-05
X2715211	Approximate.altitude	1300	-9.05126166804487	1.40987608936095	46	5	5.06792093992683e-07	7.04252719380193e-05
X1335048	Approximate.altitude	 700	-4.28680154483756	0.6676487686411	46	6	5.05633309033122e-07	7.04252719380193e-05
X1850250	Approximate.altitude	1000	-5.04310400966401	0.786239763425254	46	5	5.14669853822785e-07	7.04252719380193e-05
X1850250	Approximate.altitude	1300	-5.04310400966401	0.786239763425254	46	5	5.14669853822785e-07	7.04252719380193e-05
X145262	Approximate.altitude	1000	-3.41361145164029	0.534119401356786	46	5	5.47937833612851e-07	7.28042617182988e-05
X145262	Approximate.altitude	1300	-3.41361145164029	0.534119401356786	46	5	5.47937833612851e-07	7.28042617182988e-05
X881	Approximate.altitude	 800	-4.61528162004571	0.722769883187677	46	5	5.5625446162098e-07	7.28534414877307e-05
X74033	Approximate.altitude	1000	-6.22936859366886	0.979152727667326	46	7	5.92960392016481e-07	7.55036232500986e-05
X74033	Approximate.altitude	1300	-6.22936859366887	0.979152727667326	46	7	5.92960392016477e-07	7.55036232500986e-05
X881	Approximate.altitude	1800	-4.11528162004571	0.650220608170136	46	5	6.48464497283177e-07	8.14400343985228e-05
X2587858	Approximate.altitude	 500	-7.5002852572702	1.18663975191237	46	6	6.6352224352858e-07	8.22050260631084e-05
X2293862	Approximate.altitude	1300	-8.72969856999285	1.38246525376111	46	6	6.74471151194516e-07	8.24473535220176e-05
X1183412	Spec.subspecies	beringei	-3.58496250072116	0.573285382972964	46	7	7.96750153153289e-07	9.61132290014389e-05
X881	Approximate.altitude	 600	-3.1623743338459	0.506725827937717	46	5	8.24497628460194e-07	9.8168756593806e-05
X1800	Approximate.altitude	1300	-7.491697832262	1.20489764885921	46	10	8.78073095104996e-07	0.000103207360716956
X2715211	Approximate.altitude	1000	-8.71792833471154	1.40987608936095	46	5	9.6403625488287e-07	0.000111877017528685
X2715211	Approximate.altitude	 500	-9.05126166804487	1.46872773132863	46	5	1.02041958069191e-06	0.000114087886777847
X2715211	Approximate.altitude	1600	-9.05126166804487	1.46872773132863	46	5	1.02041958069191e-06	0.000114087886777847
