2021-12-13 11:09:30 INFO::Writing function arguments to log file
2021-12-13 11:09:30 DEBUG::Function arguments
2021-12-13 11:09:30 DEBUG::Output folder: T3_community-level/altitude_maaslin_output
2021-12-13 11:09:30 DEBUG::Min Abundance: 0.000000
2021-12-13 11:09:30 DEBUG::Min Prevalence: 0.100000
2021-12-13 11:09:30 DEBUG::Normalization: NONE
2021-12-13 11:09:30 DEBUG::Transform: LOG
2021-12-13 11:09:30 DEBUG::Analysis method: LM
2021-12-13 11:09:30 DEBUG::Max significance: 0.250000
2021-12-13 11:09:30 DEBUG::Random effects:
2021-12-13 11:09:30 DEBUG::Fixed effects: Spec.subspecies,Approximate.altitude
2021-12-13 11:09:30 DEBUG::Correction method: BH
2021-12-13 11:09:30 DEBUG::Standardize: TRUE
2021-12-13 11:09:30 DEBUG::Cores: 1
2021-12-13 11:09:30 INFO::Verifying options selected are valid
2021-12-13 11:09:30 INFO::Determining format of input files
2021-12-13 11:09:30 INFO::Input format is data samples as rows and metadata samples as rows
2021-12-13 11:09:30 DEBUG::A total of 46 samples were found in both the data and metadata
2021-12-13 11:09:30 DEBUG::Reordering data/metadata to use same sample ordering
2021-12-13 11:09:30 INFO::Formula for fixed effects: expr ~  Spec.subspecies + Approximate.altitude
2021-12-13 11:09:30 INFO::Filter data based on min abundance and min prevalence
2021-12-13 11:09:30 INFO::Total samples in data: 46
2021-12-13 11:09:30 INFO::Min samples required with min abundance for a feature not to be filtered: 4.600000
2021-12-13 11:09:30 INFO::Total filtered features: 434
2021-12-13 11:09:30 INFO::Filtered feature names from abundance and prevalence filtering:
2021-12-13 11:09:30 INFO::Total filtered features with variance filtering: 0
2021-12-13 11:09:30 INFO::Filtered feature names from variance filtering:
2021-12-13 11:09:30 INFO::Running selected normalization method: NONE
2021-12-13 11:09:30 INFO::Applying z-score to standardize continuous metadata
2021-12-13 11:09:30 INFO::Running selected transform method: LOG
2021-12-13 11:09:30 INFO::Running selected analysis method: LM
2021-12-13 11:09:30 INFO::Fitting model to feature number 1, X2058152
2021-12-13 11:09:30 INFO::Fitting model to feature number 2, X1463165
2021-12-13 11:09:30 INFO::Fitting model to feature number 3, X28901
2021-12-13 11:09:30 INFO::Fitting model to feature number 4, X546
2021-12-13 11:09:30 INFO::Fitting model to feature number 5, X184912
2021-12-13 11:09:30 INFO::Fitting model to feature number 6, X1703250
2021-12-13 11:09:30 INFO::Fitting model to feature number 7, X1920114
2021-12-13 11:09:30 INFO::Fitting model to feature number 8, X83655
2021-12-13 11:09:30 INFO::Fitting model to feature number 9, X1163710
2021-12-13 11:09:30 INFO::Fitting model to feature number 10, X61646
2021-12-13 11:09:30 INFO::Fitting model to feature number 11, X1778262
2021-12-13 11:09:30 INFO::Fitting model to feature number 12, X615
2021-12-13 11:09:30 INFO::Fitting model to feature number 13, X614
2021-12-13 11:09:30 INFO::Fitting model to feature number 14, X138074
2021-12-13 11:09:30 INFO::Fitting model to feature number 15, X632
2021-12-13 11:09:30 INFO::Fitting model to feature number 16, X630
2021-12-13 11:09:30 INFO::Fitting model to feature number 17, X1805933
2021-12-13 11:09:30 INFO::Fitting model to feature number 18, X58169
2021-12-13 11:09:30 INFO::Fitting model to feature number 19, X41202
2021-12-13 11:09:30 INFO::Fitting model to feature number 20, X584
2021-12-13 11:09:30 INFO::Fitting model to feature number 21, X1574161
2021-12-13 11:09:30 INFO::Fitting model to feature number 22, X582
2021-12-13 11:09:30 INFO::Fitting model to feature number 23, X470934
2021-12-13 11:09:30 INFO::Fitting model to feature number 24, X2052056
2021-12-13 11:09:30 INFO::Fitting model to feature number 25, X2575375
2021-12-13 11:09:30 INFO::Fitting model to feature number 26, X1484158
2021-12-13 11:09:30 INFO::Fitting model to feature number 27, X55209
2021-12-13 11:09:30 INFO::Fitting model to feature number 28, X549
2021-12-13 11:09:30 INFO::Fitting model to feature number 29, X66269
2021-12-13 11:09:30 INFO::Fitting model to feature number 30, X1619313
2021-12-13 11:09:30 INFO::Fitting model to feature number 31, X569
2021-12-13 11:09:30 INFO::Fitting model to feature number 32, X703
2021-12-13 11:09:30 INFO::Fitting model to feature number 33, X353
2021-12-13 11:09:30 INFO::Fitting model to feature number 34, X2778051
2021-12-13 11:09:30 INFO::Fitting model to feature number 35, X651
2021-12-13 11:09:31 INFO::Fitting model to feature number 36, X645
2021-12-13 11:09:31 INFO::Fitting model to feature number 37, X747
2021-12-13 11:09:31 INFO::Fitting model to feature number 38, X727
2021-12-13 11:09:31 INFO::Fitting model to feature number 39, X729
2021-12-13 11:09:31 INFO::Fitting model to feature number 40, X714
2021-12-13 11:09:31 INFO::Fitting model to feature number 41, X672
2021-12-13 11:09:31 INFO::Fitting model to feature number 42, X663
