HMT_ID	Domain	Phylum	Class	Order	Family	Genus	Species	Status	Body_site	Warning	Type_strain	16S_rRNA	Clone_count	Clone_%	Clone_rank	Synonyms	NCBI_taxon_id	NCBI_pubmed_count	NCBI_nucleotide_count	NCBI_protein_count	Genome_ID	General_info	Cultivability	Phenotypic_characteristics	Prevalence	Disease	References
001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	schoenbuchensis	Named	Unassigned			NR_025410	0	0.00	0	Strain TFI A28SC	165694	9	93	5894	SEQF2664	N/A					
002	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	sp. HMT 002	Phylotype	Unassigned			DQ493433	2	0.01	409	Oral Clone AW149	712237	0	2	0		N/A					
003	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	echinoides	Named	Unassigned		ATCC 14820	AF385529	2	0.01	409	Oral Clone AV069	59803	0	2	0	SEQF2933|SEQF3079	N/A					
004	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	sp. HMT 004	Phylotype	Unassigned			AF385533	1	0.00	459	Oral Clone AW030	712605	0	1	0		N/A					
005	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	lwoffii	Named	Unassigned												SEQF2884						
006	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	sp. HMT 006	Phylotype	Unassigned			AY349411	1	0.00	459	Oral Clone FI012	712606	0	1	0		N/A					
007	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Porphyrobacter	tepidarius	Named	Unassigned		DSM 10594	AJ223452	2	0.01	409	Oral Clone BF019	60454	0	2	0	SEQF2929|SEQF3080	N/A					
008	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae [XI]	Mogibacterium	vescum	Named	Unassigned			AB021702	11	0.03	267		86333	1	13	0		N/A					
010	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	radioresistens	Named	Unassigned												SEQF2864						
011	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	sp. HMT 011	Lost	Oral			L06165	1	0.00	459	Oral Strain UB-204	712272	0	1	0		N/A					
012	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	sp. HMT 012	Phylotype	Oral			AF366267	10	0.03	280	Oral Clone DE012	712319	0	10	0		N/A					
013	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	bacilliformis	Named	Oral			AY005029	54	0.15	118	Oral Clone AK105	267212	4	158	5922	SEQF1969	N/A					
014	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	oralis	Named	Oral		6332|DSM 25276|LMG 26725	AY005025|AY005023|GQ131417|JN104029	60	0.17	109	 Oral Clone AP085|Oral Clone AP015 | Neisseria sp. F0314| Neisseria sp. oral taxon 014	1107316	2	17	1	SEQF1659	Neisseria sp. Oral taxon 014 strain F0314 has been isolated from a human subject by the Moore&#39;s Laboratory in June 1982. The subject was a 23 year old American white female. The bacteria was isolated from the subgingival oral biofilm at a healthy site. The bacteria was grown in anaerobic conditions. The partial 16S ribosomal RNA gene was deposited to GenBank under the reference GQ131417. The strain is available at www.bei.org under the reference HM-91. This strain is part of the reference strains for the oral section of the Human Microbiome Project.&nbsp; The species has been named Neisseria oralis.&nbsp; The genome is available as ADEA00000000.&nbsp; The genome link above may be disrupted until name at NCBI officially gets changed.					
017	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Anaerococcus	octavius	Named	Unassigned												SEQF3146|SEQF3147						
018	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	sp. HMT 018	Phylotype	Oral			AY005027	5	0.01	343	Oral Clone AP132	712400	0	5	0		N/A					
019	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	accolens	Named	Nasal												SEQF2865|SEQF2935|SEQF2937|SEQF2940|SEQF2953|SEQF2954|SEQF2986|SEQF2988|SEQF3026|SEQF3027						
020	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	sp. HMT 020	Unnamed	Oral			AY005028	5	0.01	343	Strain TFI B33KA	712401	0	472	5752	SEQF1944	N/A					
021	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	vestibularis	Named	Oral			AY188353	61	0.17	106		1343	20	491	7053	SEQF1705|SEQF2004	N/A					
