"ERR1017187_soil_tundra_soil_tundra"	"ERR1019366_soil_tundra_soil_tundra"	"ERR1022687_soil_tundra_soil_tundra"	"ERR1034454_soil_tundra_soil_tundra"	"ERR1035437_soil_tundra_soil_tundra"	"ERR584320_labcontam_rmhuman_labcontam_rmhuman"	"ERR584333_labcontam_rmhuman_labcontam_rmhuman"	"ERR584341_labcontam_rmhuman_labcontam_rmhuman"	"ERR584348_labcontam_rmhuman_labcontam_rmhuman"	"SRR6877300_human_calculus_human_calculus"	"SRR6877340_human_calculus_human_calculus"	"SRR6877350_human_calculus_human_calculus"	"SRR6877370_human_calculus_human_calculus"	"SRR6877399_human_calculus_human_calculus"	"SRS011271_human_gut_human_gut"	"SRS015650_human_plaque_human_plaque"	"SRS018656_human_gut_human_gut"	"SRS018665_human_plaque_human_plaque"	"SRS018975_human_plaque_human_plaque"	"SRS019387_human_plaque_human_plaque"	"SRS019397_human_gut_human_gut"	"SRS023526_human_gut_human_gut"	"SRS023538_human_plaque_human_plaque"	"SRS051031_human_gut_human_gut"	"SRS727524_human_skin_human_skin"	"SRS728264_human_skin_human_skin"	"SRS728285_human_skin_human_skin"	"SRS728312_human_skin_human_skin"	"SRS728355_human_skin_human_skin"	"Unknown"
"ABM006_gorilla_calculus"	0.0922787729939589	0.0450857560247581	3.58785075599739e-98	0.150978727865602	9.64134482511006e-72	0	8.19087059258527e-20	0.0161052363446507	1.56124748836564e-75	2.51630088038931e-21	2.24681011844242e-07	0.0761278992131268	0.0548165898690709	2.74163475099489e-70	0	2.27991583078704e-28	5.65555982989319e-56	0.104560571745471	1.49836823097108e-34	0.0371386939074235	0	0	2.01710081355655e-23	0	0.00725559145067946	3.40762850749466e-43	7.51108133189633e-64	2.83108857620636e-32	0.0995587872308191	0.316093148673427
"DJA002_gorilla_calculus"	4.68877987381641e-07	0.0885611913499431	6.78056165838451e-05	0	3.34969112173592e-23	0	0.00310453300735738	0	0.0708809064254272	2.14135370069645e-06	0.0784522614040517	0.105763956261415	0.000180279176523017	6.98097945290597e-19	0.0499235336874551	0	0.0985699032626181	0	0.000130125181106822	4.22118840916073e-13	0.000427167799658319	0.0171068796730128	1.8471279062804e-31	0.00163282176944931	1.3306386808565e-08	0.0452329455163556	4.95175680229983e-10	9.21971287971411e-08	0	0.439962973638241
"EBO001_gorilla_calculus"	0.0397004366307941	1.73229809619222e-95	0	1.00178739764915e-43	0.127228751348915	0.0372322078396628	1.53746264791252e-32	0.0179151680027618	2.78720516359601e-21	5.11605845878826e-15	3.75497006690415e-19	0.0541896460687088	8.4326669180824e-14	1.35689938931423e-34	0.00164500385862463	3.03233554831848e-24	3.46092418457674e-36	1.92077390378528e-06	0.122116503711922	0.0855620166950146	7.74196266598359e-33	0.0990068112102472	0.161893776708283	5.24652273800555e-52	2.3318644264919e-58	1.89130565205501e-46	4.97178907042051e-187	8.36353555407111e-89	7.13185599435088e-45	0.253507757151073
"FDM001_gorilla_calculus"	1.56081364622218e-07	0	3.61789505378173e-05	1.94142280121264e-05	0.000490244533109297	7.74360204729004e-06	0.000440144491148413	0	2.82324195628484e-09	0.174451159596984	9.62739439034756e-05	2.28624973626858e-05	1.33373451677822e-10	0	0	0.238806126144237	0	0.0969338946403053	2.01259561252911e-06	0.0925977760902992	0	0	0.0135088240274745	0.0308644337406115	8.10859384560994e-05	1.17410249059641e-17	3.72364603957113e-05	0.0390968643448426	7.56513668028678e-06	0.3125
"G0001_gorilla_calculus"	1.27513130930043e-06	0.0515086916561404	1.38330353677843e-29	2.76759540673957e-11	1.7394931005431e-06	1.20877086949161e-26	2.23450378514591e-24	0.0779264654361633	5.51920343902792e-20	0.13331022413913	0.0237905610142282	0.12843241177336	0.00640393467449187	1.30136336352835e-15	0	0	0	0.056052926693948	9.05716133206295e-07	0	0	0	0	0	0.0682427417360589	0.00103022645998473	0.0569037504506597	0	4.16144774951663e-14	0.396394145597572
"G0005_gorilla_calculus"	9.14002163021487e-06	8.9204576638521e-09	0.0696804052211891	0.0868070699925806	2.25308224438556e-07	0	4.03978309554024e-13	2.82943979229435e-25	3.82436282781771e-46	0.040652136557986	0.03125	0.0772245131537316	0.138429368231659	0.0900722903261474	1.04291223875763e-15	0	7.72838469664245e-08	9.4710153190725e-18	2.03706733313859e-60	8.11060851342236e-28	7.89948391386307e-28	2.56703933340895e-17	1.80289324176624e-34	3.09050634554861e-16	0.0283747652906701	1.33917848541646e-12	5.1060131169506e-29	0	0	0.437499999690133
"G0007_gorilla_calculus"	3.49995737291071e-06	1.09977591199316e-38	5.4937472884244e-22	0.10344432016991	4.82413151435891e-12	0.0349642546064965	0.00398581944928923	0.0226926701769258	2.65477161490255e-17	0.208465379067365	1.58765396360283e-15	0.100083036018746	0.0338691414778173	1.28720065918511e-23	1.01695005459776e-63	9.33370230117575e-10	8.59342683017715e-31	0.0335613589305923	2.27362134437718e-20	8.03579155889302e-07	1.14942711550874e-40	0	0.0407711984263191	3.63358007906303e-69	6.46738151227513e-05	0.0409673603499969	1.44677864588331e-40	5.66287071285802e-37	0.0763449409133971	0.300781542123298
"G0008_gorilla_calculus"	2.40535387696542e-08	0.00152998389787848	4.81811295775912e-07	0.00203331766803026	0.153489640447438	3.98376029160768e-05	0.0717398488995848	0.00626622397779635	4.56107746655049e-07	0.0745681830386756	0.0396551649862011	0.0925892042232134	0.0748665978431471	0.00981584517679284	0	0.0188777085737347	0	0.00998783597334899	0.000239336553299699	0.00504819443630202	0	0	0.0348947916930424	0	1.27039362698675e-05	0.0431810155672612	3.25491577271272e-06	0.00427572817343643	0.000809488332383959	0.356075132110893
"G0009_gorilla_calculus"	9.54897986373768e-06	1.12461002678927e-16	3.95726847888489e-17	4.33694940012175e-84	1.87593153854715e-09	0	4.54301289022586e-50	0	0	4.72393781440642e-21	4.01832797886496e-54	0.162311060990501	0.164764290580785	1.68341833593641e-76	0.0443513190938532	0.126005414559229	1.33549659732312e-46	4.73463558174091e-23	0.119225023176984	0.000625258267467595	3.83434873065026e-56	4.99065556603127e-23	2.23500585686135e-07	4.3664174199169e-56	0.195226557097548	3.52675957033115e-38	3.75963237348148e-27	2.57379025729156e-08	6.02903924823618e-22	0.187481276139349
"G0011_gorilla_calculus"	0.0574074296096262	0.0377200767132662	0.0445303311666974	1.70203871667145e-05	8.02842477206261e-36	0.0625	0.125	0	1.40680206056396e-30	0.0688020578893036	6.29284027945249e-64	0.0113507885476526	0	6.3756327880651e-112	1.61528047288769e-70	0	0	4.53335687163082e-70	1.48858126011459e-12	0	0	0	1.54299555832467e-30	0	1.00144153716864e-14	0	0	0	0	0.592672295684789
