SampleID Average.Length.Retained.Reads
BE108 80.501
BE109 68.8375
BE110 81.1198
BE111 70.3526
BE112 81.5701
BE114 103.951
BE115 79.5844
BE116 74.2983
BE117 80.8161
BE118 76.5906
BE119 79.2024
BE121 81.0361
BE124 65.8571
BE208 83.9746
BE209 85.1336
BE210 80.4629
BE211 81.8881
BE212 78.8314
BE213 76.2928
BE214 78.7939
BE215 81.6328
BE216 80.6449
BE217 80.4808
BE218 81.1376
BE219 77.5975
BE221 71.4125
BE319 75.702
BIT001 60.5896
BL105 67.649
BL106 80.1517
BL107 69.1217
BL108 76.1972
BL110 63.0614
BL111 81.2186
BL112 81.7054
BL113 67.7368
BL114 68
BL115 49.3846
BL116 78.4091
BS001 74.0033
BS005 76.9817
DJA002 48.7209
EBO001 45.7853
EBO003 48.0934
ERR2503700 109.088
ERR2868193 104.815
EXB015.A2001 64.0727
EXB015.A2101 62.5341
EXB015.A2501 63.1723
EXB015.A2601 62.0156
EXB020.A0101 61.3529
EXB021.A0101 64.0983
EXB022.A0101 60.7972
EXB023.A0101 61.6902
FDM001 50.2358
G0001 85.7397
G0004 71.4307
G0005 80.013
G0006 64.5809
G0007 66.7228
G0008 66.8819
G0009 66.9735
G0010 82.3838
G0011 86.4849
G0012 64.455
G0013 82.124
G0014 67.1302
G0015 73.6277
G0016 65.6343
G0017 65.4917
G0018 63.3783
G0019 62.9887
G0020 69.0832
G0021 63.6455
G0026 71.2503
G0028 56.569
G0029 56.497
G0030 50.2735
G0031 62.395
G0033 68.263
G0034 72.7325
G0035 58.2108
G0036 80.2476
Gb1wash 81.472
Gb2wash 73.0976
GDC002 54.5675
GDC004 54.3965
GDC005 49.1866
IBA001 61.3022
IBA002 62.3528
LIB007.A0117 62.949
LIB012.A0101 64.1724
LIB013.A0101 68.488
LIB014.A0101 62.4998
LIB015.A0101 61.3432
LOB001 57.8398
MTK001 63.7377
MTM001 58.3226
MTM002 72.258
MTM003 67.5094
MTM004 53.9969
MTM005 62.692
MTM006 60.1419
MTM008 63.7054
MTM009 54.3937
MTM010 59.0998
MTM011 73.0546
MTM012 70.8676
MTM013 58.1442
MTS001 60.696
MTS002 65.8264
MTS003 61.3373
WAL001 60.3132
